task,comment,topic,cluster,cos_dist,eclu_dist,pred_topic
clinc,what does ferrari mean,definition,100,0.15335476,0.55381376,Word definition
clinc,what is the meaning of the word girn,definition,100,0.20734346,0.64396185,Word definition
clinc,what does mature mean,definition,100,0.21405959,0.6543083,Word definition
clinc,i'd like to know what bitcoin means,definition,100,0.21769977,0.65984833,Word definition
clinc,"i heard some woman say she was going to yerd me, what's that mean",definition,100,0.22501904,0.6708489,Word definition
clinc,can you tell me what obsolescence means,definition,100,0.23050773,0.6789813,Word definition
clinc,please explain the word catastrophic to me,definition,100,0.23515445,0.68579096,Word definition
clinc,what's the meaning of naff,definition,100,0.21157873,0.6505056,Word definition
clinc,can you tell me what dendrofilous means,definition,100,0.21489024,0.65557665,Word definition
clinc,what does peer-to-peer actually mean,definition,100,0.23030716,0.67868596,Opinions about a concept
clinc,define epicurean,definition,100,0.23823458,0.69026726,Word definition
clinc,what does epicurean mean,definition,100,0.22757739,0.6746517,Word definition
clinc,would you let me know what the meaning is life is,meaning of life,51,0.22557503,0.67167723,Philosophical inquiry
clinc,would you let me know what is the point of life,meaning of life,51,0.24523282,0.7003326,Philosophical inquiry
clinc,"right now, i need to know the meaning of life",meaning of life,51,0.2304241,0.678858,Philosophical inquiry
clinc,define the meaning of life for me,meaning of life,51,0.24576968,0.7010988,Philosophical inquiry
clinc,i want to know the meaning of life,meaning of life,51,0.2300337,0.6782827,Philosophical inquiry
clinc,would you explain the meaning of life,meaning of life,51,0.22636694,0.67285514,Philosophical inquiry
clinc,i need you to tell me the meaning of life,meaning of life,51,0.22142804,0.6654744,Philosophical inquiry
clinc,i need to know what the meaning of life is now,meaning of life,51,0.23446327,0.6847824,Philosophical inquiry
clinc,tell me what the meaning of life is,meaning of life,51,0.2248838,0.6706472,Philosophical inquiry
clinc,i need to know what the point of life is,meaning of life,51,0.25534576,0.71462685,Philosophical inquiry
clinc,let me know what the point of life is,meaning of life,51,0.24676871,0.7025224,Philosophical inquiry
clinc,would you provide me with what the point of life is,meaning of life,51,0.24504572,0.7000653,Philosophical inquiry
clinc,tell me what the point of life is,meaning of life,51,0.2455138,0.70073354,Philosophical inquiry
clinc,what is the reason humans even exist,meaning of life,51,0.24513733,0.7001963,Philosophical inquiry
clinc,do you think our lives have purpose or meaning,meaning of life,51,0.25032395,0.7075647,Philosophical inquiry
clinc,can you tell me about the meaning of life,meaning of life,51,0.2353633,0.6860953,Philosophical inquiry
clinc,can you tell me what the meaning of life is,meaning of life,51,0.22878861,0.67644465,Philosophical inquiry
clinc,what do you know about the meaning of life,meaning of life,51,0.24616349,0.7016603,Philosophical inquiry
clinc,i would like information on the meaning of life,meaning of life,51,0.24264622,0.6966294,Philosophical inquiry
clinc,what information can you give me on the meaning of life,meaning of life,51,0.25269508,0.7109082,Philosophical inquiry
clinc,what is the core meaning of life,meaning of life,51,0.24416292,0.6988034,Philosophical inquiry
clinc,what do you know about lifes meaning,meaning of life,51,0.24134135,0.6947538,Philosophical inquiry
clinc,is there any consensun regarding lifes true meaning,meaning of life,51,0.25200218,0.7099327,Philosophical inquiry
clinc,is there a reason beyond biology about why humans are alive,meaning of life,51,0.24958676,0.7065222,Philosophical inquiry
clinc,do you think being alive has any meaning,meaning of life,51,0.22906232,0.67684907,Philosophical inquiry
clinc,is there meaning to life,meaning of life,51,0.24121344,0.6945696,Philosophical inquiry
clinc,is there meaning in life,meaning of life,51,0.24009728,0.69296086,Philosophical inquiry
clinc,what is the answer to life,meaning of life,51,0.22729325,0.6742304,Philosophical inquiry
clinc,what's the answer to it all,meaning of life,51,0.21949464,0.66256267,Philosophical inquiry
clinc,what's life mean to you,meaning of life,51,0.23023927,0.6785857,Philosophical inquiry
clinc,i would like to change my insurance policy,insurance change,34,0.24912167,0.70586354,Insurance plan inquiry
clinc,can i edit my insurance policy,insurance change,34,0.26133156,0.72295445,Insurance plan inquiry
clinc,i am interested in a new insurance plan,insurance change,34,0.24863815,0.7051782,Insurance plan signup
clinc,i really would like to get a new insurance plan,insurance change,34,0.24382627,0.6983212,Insurance plan signup
clinc,i am in the market for a new insurance plan,insurance change,34,0.26046157,0.72175026,Insurance plan signup
clinc,is there a way to alter my insurance policy,insurance change,34,0.2600233,0.72114253,Insurance plan inquiry
clinc,how can i change to new insurance plan,insurance change,34,0.26527196,0.7283845,Insurance plan signup
clinc,help me find a new insurance plan,insurance change,34,0.25991797,0.72099656,Insurance plan signup
clinc,can i update my insurance policy,insurance change,34,0.26931214,0.73391044,Insurance plan inquiry
clinc,who do i contact about updating my insurance,insurance change,34,0.26218688,0.72413665,Insurance plan inquiry
clinc,can you help me change my insurance policy,insurance change,34,0.2533306,0.7118015,Insurance plan inquiry
clinc,"i need to change my insurance policy, do you know how",insurance change,34,0.2558484,0.7153299,Insurance plan inquiry
clinc,what are the steps to change my insurance policy,insurance change,34,0.26703012,0.7307944,Insurance plan inquiry
clinc,do you know how i can change my insurance policy,insurance change,34,0.25698507,0.7169172,Insurance plan inquiry
clinc,how to i change the policy on my insurace,insurance change,34,0.26250362,0.72457397,Insurance plan inquiry
clinc,what do i need to do to get new insurance,insurance change,34,0.2545548,0.71351916,Insurance plan signup
clinc,do you know how i get new insurance,insurance change,34,0.24384755,0.6983518,Insurance plan signup
clinc,what is the protocol for getting new insurance,insurance change,34,0.24725497,0.703214,Insurance plan signup
clinc,let me know the process for new insurance,insurance change,34,0.24042678,0.693436,Insurance plan signup
clinc,i want to sign up for a new allstate insurance plan,insurance change,34,0.24917156,0.7059342,Insurance plan signup
clinc,i need to sign up for a new allstate plan,insurance change,34,0.2489652,0.705642,Insurance plan signup
clinc,what is the procedure for signing up for a new allstate plan,insurance change,34,0.25688028,0.7167711,Insurance plan signup
clinc,how do i sign up for a new allstatedplan,insurance change,34,0.25559175,0.7149711,Insurance plan signup
clinc,i want to change to a new allstate insurance plan,insurance change,34,0.25950742,0.72042686,Insurance plan signup
clinc,i want a new insurance plan,insurance change,34,0.24670649,0.7024337,Insurance plan signup
clinc,what if i want to switch insurance plans,insurance change,34,0.26729906,0.73116225,Insurance plan signup
clinc,is there a way to get a new insurance plan,insurance change,34,0.26011288,0.721267,Insurance plan signup
clinc,i want to switch to a new insurance plan,insurance change,34,0.25384885,0.71252924,Insurance plan signup
clinc,how do i switch insurance plans,insurance change,34,0.26000082,0.7211114,Insurance plan inquiry
clinc,phone number to state farm to change insurance,insurance change,34,0.27222347,0.73786634,Insurance plan signup
clinc,"can you help me find my phone, please",find phone,109,0.23900813,0.6913872,Phone location inquiry
clinc,could you help me locate my phone,find phone,109,0.23749542,0.6891959,Phone location inquiry
clinc,can you help me locate my phone,find phone,109,0.24775791,0.70392877,Phone location inquiry
clinc,"could you help me locate my phone, please",find phone,109,0.23176354,0.6808283,Phone location inquiry
clinc,"can you help me locate my phone, please",find phone,109,0.24087673,0.69408476,Phone location inquiry
clinc,"i cannot locate my phone, can you help me",find phone,109,0.24848288,0.70495814,Phone location inquiry
clinc,i need help locating my phone,find phone,109,0.25394106,0.71265876,Phone location inquiry
clinc,can you assist me with finding my phone,find phone,109,0.24855483,0.70506006,Phone location inquiry
clinc,i lost my phone can you help me,find phone,109,0.24935621,0.7061959,Phone location inquiry
clinc,where the bleep did i put my bleeping phone,find phone,109,0.24945617,0.7063373,Phone location inquiry
clinc,is my phone somewhere around here,find phone,109,0.22714442,0.6740096,Phone location inquiry
clinc,"help, i've lost my cellphone!",find phone,109,0.23419893,0.68439627,Phone location inquiry
clinc,i seem to have lost my phone,find phone,109,0.23771703,0.6895175,Phone location inquiry
clinc,do you know my phone's location,find phone,109,0.24325728,0.6975059,Phone location inquiry
clinc,can you find my phone,find phone,109,0.2540266,0.71277857,Phone location inquiry
clinc,where's my phone at,find phone,109,0.23116684,0.6799512,Phone location inquiry
clinc,what's my phone's location,find phone,109,0.24575245,0.7010742,Phone location inquiry
clinc,can you help me hunt for my missing cellphone,find phone,109,0.2502761,0.70749724,Phone location inquiry
clinc,locate my cellphone in this room,find phone,109,0.23407751,0.68421865,Phone location inquiry
clinc,where did i last put my phone,find phone,109,0.24544585,0.7006368,Phone location inquiry
clinc,find my cellphone for me!,find phone,109,0.23356211,0.68346494,Phone location inquiry
clinc,where did i place my phone,find phone,109,0.2377373,0.6895467,Phone location inquiry
clinc,where's my phone,find phone,109,0.2378143,0.6896583,Phone location inquiry
clinc,my phone isn't where i left it,find phone,109,0.24189782,0.6955541,Phone location inquiry
clinc,i think i've misplaced my phone,find phone,109,0.23576844,0.6866854,Phone location inquiry
clinc,i've lost my phone somewhere,find phone,109,0.22939837,0.67734534,Phone location inquiry
clinc,i think i lost my phone,find phone,109,0.24513972,0.7001997,Phone location inquiry
clinc,would you know where to find my phone,find phone,109,0.24687004,0.70266664,Phone location inquiry
clinc,please assist me in looking for my phone,find phone,109,0.24124342,0.6946128,Phone location inquiry
clinc,look for my phone with me,find phone,109,0.22956383,0.6775897,Phone location inquiry
clinc,is there a travel alert in spain,travel alert,131,0.22021061,0.6636425,Travel advisory inquiry
clinc,travel alert in cuba,travel alert,131,0.24320537,0.6974317,Travel advisory inquiry
clinc,alerts for travel in colombia,travel alert,131,0.23044115,0.67888325,Travel advisory inquiry
clinc,are there travel alerts in mexico,travel alert,131,0.24417567,0.6988216,Travel advisory inquiry
clinc,mexico travel alerts,travel alert,131,0.23593521,0.6869283,Travel advisory inquiry
clinc,have there been any travel alerts for the us,travel alert,131,0.24721932,0.70316344,Travel advisory inquiry
clinc,are there any travel advisories for the us,travel alert,131,0.23108447,0.67983013,Travel advisory inquiry
clinc,what are the travel alerts for the us,travel alert,131,0.24202633,0.6957389,Travel advisory inquiry
clinc,are there travel alerts for the us,travel alert,131,0.24235821,0.6962158,Travel advisory inquiry
clinc,what travel alerts are in effect for the us,travel alert,131,0.2500233,0.70713985,Travel advisory inquiry
clinc,i want to know if i will be safe if i travel to europe,travel alert,62,0.23553199,0.6863411,Travel advisory inquiry
clinc,would i be safe if i traveled to japan,travel alert,62,0.24256396,0.69651127,Travel advisory inquiry
clinc,is it safe to go to north korea,travel alert,62,0.2647692,0.72769403,Travel advisory inquiry
clinc,will i be safe going to south america,travel alert,62,0.239995,0.6928132,Travel advisory inquiry
clinc,am i safe to go to africa,travel alert,62,0.25435227,0.71323556,Travel advisory inquiry
clinc,which countries have travel alerts,travel alert,131,0.23893207,0.6912771,Travel advisory inquiry
clinc,is it safe in italy,travel alert,62,0.16254556,0.5701678,Travel advisory inquiry
clinc,what are the travel conditions for haiti,travel alert,131,0.22826707,0.67567307,Travel advisory inquiry
clinc,are there any travel bulletins about haiti,travel alert,131,0.24013436,0.6930142,Travel advisory inquiry
clinc,note any travel alerts for haiti,travel alert,131,0.24553478,0.70076346,Travel advisory inquiry
clinc,find travel alerts for haiti,travel alert,131,0.24196434,0.6956499,Travel advisory inquiry
clinc,does the state department say anything about traveling to haiti,travel alert,131,0.25027466,0.70749515,Travel advisory inquiry
clinc,is there a travel alert for france,travel alert,131,0.22636902,0.67285806,Travel advisory inquiry
clinc,is it safe for me to go to turkey,travel alert,62,0.24486,0.6998001,Travel advisory inquiry
clinc,is it safe to go to serbia,travel alert,62,0.24027789,0.6932214,Travel advisory inquiry
clinc,safety concerns for malaysia,travel alert,62,0.2526865,0.710896,Travel advisory inquiry
clinc,is it safe for me to visit malawi,travel alert,62,0.25351584,0.7120619,Travel advisory inquiry
clinc,is travel to monterrey safe now,travel alert,131,0.25270343,0.71091986,Travel advisory inquiry
clinc,is it safe for people to travel to pakistan,travel alert,62,0.26117885,0.7227434,Travel advisory inquiry
clinc,can people safely travel to cambodia,travel alert,62,0.2593429,0.7201984,Travel advisory inquiry
clinc,please help me set up a vacation request,pto request,26,0.22413325,0.6695272,Vacation request
clinc,how does one go about putting in a vacation request,pto request,26,0.23442417,0.6847253,Vacation request
clinc,how do i put in a vacation request,pto request,26,0.23189127,0.68101597,Vacation request
clinc,walk me through on how to make a vacation request,pto request,26,0.22508228,0.67094314,Vacation request
clinc,please put in a vacation request,pto request,26,0.2085703,0.6458644,Vacation request
clinc,how is a vacation request done,pto request,26,0.21998894,0.6633082,Vacation request
clinc,how is a vacation request made,pto request,26,0.218158,0.6605422,Vacation request
clinc,what is the process of making a vacation request,pto request,26,0.23114151,0.67991376,Vacation request
clinc,how would one make a vacation request,pto request,26,0.21557146,0.656615,Vacation request
clinc,can i put in a pto request for september 1st to september 8th,pto request,88,0.25099945,0.708519,Vacation request
clinc,"if i want to make a vacation request, how do i do it",pto request,26,0.22149199,0.66557026,Vacation request
clinc,can i put in a pto request for august 1st to august 10th,pto request,88,0.247756,0.7039262,Vacation request
clinc,can i put in a pto request for january 4th to january 9th,pto request,88,0.26189065,0.72372746,Vacation request
clinc,can i put in a pto request for december 3rd to december 10th,pto request,88,0.26384485,0.72642255,Vacation request
clinc,can i put in a pto request for december 25th to january 1st,pto request,88,0.27198398,0.73754185,Vacation request
clinc,can i take pto from the end of the month to the 5th of the next month,pto request,88,0.2567098,0.71653306,Vacation request
clinc,can you help me plan a vacation,pto request,26,0.22871369,0.6763338,Vacation request
clinc,it it possible to take pto from the 8th to the 11th,pto request,88,0.24545574,0.7006508,Vacation request
clinc,is it ok if i use some of my pto on may 24th to may 29th,pto request,88,0.2603585,0.72160727,Vacation request
clinc,what do i do to set up a vacation,pto request,26,0.233558,0.68345904,Vacation request
clinc,i need to use pto on october 5th to october 10th,pto request,88,0.25363797,0.7122332,Vacation request
clinc,how do i plan a vacation,pto request,26,0.23652393,0.6877848,Vacation request
clinc,can i put in a pto request for monday to wednesday,pto request,88,0.25013804,0.7073019,Vacation request
clinc,can i purchase a vacation using this,pto request,26,0.23080635,0.6794208,Vacation request
clinc,how do i get help with a vacation itinerary,pto request,26,0.23211366,0.68134236,Travel planning
clinc,how do i request a vacation,pto request,26,0.23013186,0.6784274,Vacation request
clinc,i'd like to request a vacation,pto request,26,0.20289993,0.6370245,Vacation request
clinc,i need to request a vacation,pto request,26,0.21635139,0.65780157,Vacation request
clinc,vacation request information,pto request,26,0.23420024,0.68439794,Vacation request
clinc,vacation request please,pto request,26,0.20754457,0.6442742,Vacation request
clinc,how can i increase my credit score,improve credit score,24,0.28250027,0.75166506,Credit score inquiry
clinc,how can i raise my credit score,improve credit score,24,0.27953053,0.747704,Credit score inquiry
clinc,how can i contribute to my credit score,improve credit score,24,0.28953725,0.7609696,Credit score inquiry
clinc,how is it possible to get a better credit score,improve credit score,24,0.28517473,0.7552151,Credit score inquiry
clinc,how can i up my credit score,improve credit score,24,0.28479415,0.75471073,Credit score inquiry
clinc,can you explain to me how i might boost my credit score,improve credit score,24,0.27819437,0.7459149,Credit score inquiry
clinc,my credit score stinks but i don't know how to improve it,improve credit score,24,0.28231096,0.7514132,Credit score inquiry
clinc,what preventative measures can i take to avoid a low credit score,improve credit score,24,0.29859352,0.77277875,FICO score impact
clinc,how can i keep my credit score from falling,improve credit score,24,0.27288878,0.7387676,Credit score inquiry
clinc,give me some ideas for boosting my credit score,improve credit score,24,0.28291243,0.75221366,Credit score inquiry
clinc,how can i prevent my credit score from dropping,improve credit score,24,0.2795925,0.7477868,Credit score inquiry
clinc,what steps can i take to build my credit score,improve credit score,24,0.29453516,0.7675093,Credit score inquiry
clinc,give me some tips on building up my credit score,improve credit score,24,0.29082763,0.7626634,Credit score inquiry
clinc,how can i rehabilitate my poor credit score,improve credit score,24,0.27926737,0.747352,Credit score inquiry
clinc,give me some ideas of how to avoid my credit score lowering,improve credit score,24,0.28939527,0.76078296,Credit score inquiry
clinc,give me tips on improving my credit score,improve credit score,24,0.2853576,0.75545704,Credit score inquiry
clinc,what steps should i take if i want to ensure my credit score doesn't drop,improve credit score,24,0.28557134,0.75574,Credit score inquiry
clinc,can you tell me some strategies for raising my credit score,improve credit score,24,0.28286147,0.7521456,Credit score inquiry
clinc,i want to know how i can build up a good credit score,improve credit score,24,0.28323096,0.7526367,Credit score inquiry
clinc,"""what's the method to improve credit score",improve credit score,24,0.26972944,0.7344786,Credit score inquiry
clinc,"""which is the best way to improve the credit score",improve credit score,24,0.2657833,0.72908646,Credit score inquiry
clinc,"""which could be improve the credit score",improve credit score,24,0.26243562,0.72448,Credit score inquiry
clinc,"""when the credit score improve",improve credit score,24,0.25322074,0.71164703,Credit score inquiry
clinc,"""where is improve the credit score",improve credit score,24,0.25486952,0.7139603,Credit score inquiry
clinc,it is damaging to my credit score if i miss one credit card payment,improve credit score,24,0.27265286,0.7384482,FICO score impact
clinc,i have a revolving store card and defaulted so will my fico score be affected,improve credit score,24,0.2801671,0.74855477,FICO score impact
clinc,will my fico score decrease if i increase my student loan debt,improve credit score,24,0.27063572,0.7357116,FICO score impact
clinc,if i lose my job will my credit score go down,improve credit score,24,0.28345382,0.7529328,Credit score inquiry
clinc,can i hurt my credit rating if i open several credit cards in a short time frame,improve credit score,24,0.29364586,0.7663497,Credit score inquiry
clinc,will only having five late payments really make my credit bad,improve credit score,24,0.28327447,0.7526944,Credit score inquiry
clinc,name unusual facts about the circus,fun fact,137,0.24285471,0.6969289,Science facts
clinc,i need interesting baseball trivia from the nineteen eighties,fun fact,137,0.2558204,0.71529084,Science facts
clinc,tell me a fun fact about cars,fun fact,137,0.24924755,0.7060419,Science facts
clinc,give me a fun fact about kangaroo,fun fact,137,0.24818134,0.7045303,Science facts
clinc,give me a fun fact about koala,fun fact,137,0.26557207,0.7287963,Science facts
clinc,give me a fun fact about dolphin,fun fact,137,0.2304399,0.6788813,Science facts
clinc,what is some trivia about frog,fun fact,137,0.22675073,0.6734253,Science facts
clinc,tell me fun facts of today,fun fact,137,0.23569,0.68657136,Science facts
clinc,give me something interesting about stars,fun fact,137,0.23888326,0.69120675,Science facts
clinc,what is some trivia question about coffee,fun fact,137,0.23642373,0.68763906,Science facts
clinc,tell me some trivia about sweat,fun fact,137,0.22975338,0.67786944,Science facts
clinc,tell me some trivia about dolphin,fun fact,137,0.21609926,0.65741813,Science facts
clinc,what is some trivia about the weather,fun fact,47,0.23051089,0.67898595,Weather information
clinc,give me a fun fact about komodo dragon,fun fact,137,0.25579596,0.71525663,Science facts
clinc,give me a amusing fact about wolf,fun fact,137,0.2452836,0.70040524,Science facts
clinc,what is the interesting trivia about human bodies,fun fact,137,0.24013102,0.6930095,Science facts
clinc,tell me today's fun fact,fun fact,137,0.23382777,0.68385345,Science facts
clinc,i want today's fun fact please,fun fact,137,0.22688055,0.6736181,Science facts
clinc,what is today's fun fact,fun fact,137,0.23471457,0.6851491,Science facts
clinc,today's fun fact,fun fact,137,0.22432506,0.6698135,Science facts
clinc,i want a fun fact about london,fun fact,137,0.2514733,0.7091874,Science facts
clinc,tell me something interesting about bees,fun fact,137,0.22207618,0.66644746,Science facts
clinc,i would you like to learn something interesting about bees,fun fact,137,0.2063908,0.642481,Science facts
clinc,i want to hear cool bee facts,fun fact,137,0.22944629,0.67741627,Science facts
clinc,what's something interesting about bees,fun fact,137,0.22367126,0.6688367,Science facts
clinc,i wanna hear something cool about bees,fun fact,137,0.21471989,0.65531677,Science facts
clinc,tell me fun facts on science topics,fun fact,137,0.2499699,0.7070644,Science facts
clinc,tell me fun science facts,fun fact,137,0.24192369,0.69559157,Science facts
clinc,i want to know fun facts about koala bears,fun fact,137,0.27781767,0.74540955,Science facts
